cca3,decade_start,decade_end,mean_temp_c,warming_c_per_decade,detrended_volatility_c,mean_uncertainty_c
ABW,1960,1969,28.199408333333338,0.1074595959595944,0.18984095480680793,0.3587666666666667
ABW,1970,1979,28.167541666666672,0.19795454545454605,0.28782938385222967,0.3272166666666666
ABW,1980,1989,28.342575,-0.27031818181818323,0.3026605084735206,0.32425833333333337
ABW,1990,1999,28.53163333333334,0.3221515151515145,0.2243152929993867,0.31716666666666665
ABW,2000,2009,28.664583333333333,0.30730303030303324,0.21981761149469406,0.3412
AFG,1960,1969,13.961283333333332,-0.322575757575757,0.49422573987852364,0.4119833333333333
AFG,1970,1979,14.035983333333334,0.10884848484848536,0.746613153295199,0.41252500000000003
AFG,1980,1989,14.595183333333335,0.15579797979798168,0.4974842372584415,0.4213166666666667
AFG,1990,1999,14.732458333333335,0.7997121212121227,0.3241004891206741,0.4517749999999999
AFG,2000,2009,15.365649999999999,-0.42433333333333517,0.2863285053272954,0.4700333333333334
AGO,1960,1969,21.887691666666665,0.09729797979798002,0.15473213301470418,0.3156
AGO,1970,1979,21.906983333333336,-0.18656565656565635,0.26421844098879355,0.3906666666666666
AGO,1980,1989,22.199141666666666,0.3887525252525234,0.24239085494695312,0.5175166666666666
AGO,1990,1999,22.477566666666668,0.4132525252525284,0.29470275203286134,0.4946
AGO,2000,2009,22.53725833333333,-0.44629797979797725,0.3258755262436319,0.7387166666666667
AIA,1960,1969,26.82451666666667,-0.3831515151515186,0.19652735114348563,0.35830833333333334
AIA,1970,1979,26.748399999999997,0.15963636363636516,0.2400512064246888,0.3485083333333333
AIA,1980,1989,27.048000000000002,-0.14423232323232413,0.21073963294046585,0.31251666666666666
AIA,1990,1999,27.266525,0.514823232323232,0.1753312746056579,0.2825583333333333
AIA,2000,2009,27.467358333333333,0.17423737373737228,0.22859127260699108,0.2679833333333333
ALB,1960,1969,12.919900000000002,-0.6021414141414134,0.2835228407964226,0.3391416666666667
ALB,1970,1979,12.610949999999999,0.07163636363636505,0.3403777996884683,0.3155166666666666
ALB,1980,1989,12.775675,0.6596515151515147,0.2191448032904347,0.30144166666666666
ALB,1990,1999,13.149891666666665,0.307762626262628,0.4984907696048337,0.3289
ALB,2000,2009,13.529558333333332,0.11667171717171737,0.4046762977232786,0.31145
AND,1960,1969,11.3271,-0.2284242424242407,0.4558721720015245,0.3502416666666667
AND,1970,1979,11.159275,0.04772222222222171,0.18021019049210776,0.31902500000000006
AND,1980,1989,11.671633333333334,0.9680000000000011,0.45626088114878643,0.28134166666666666
AND,1990,1999,12.089525,0.5479848484848479,0.48304450795041154,0.27648333333333336
AND,2000,2009,12.296949999999999,-0.047878787878786536,0.3864969254011688,0.2760666666666667
ARE,1960,1969,27.741816666666672,0.11814141414141534,0.29183499272991315,0.7001166666666666
ARE,1970,1979,27.859050000000003,0.4263535353535367,0.344808164539297,0.5878833333333333
ARE,1980,1989,27.794391666666673,-0.04569191919192018,0.36342013619098823,0.39665833333333333
ARE,1990,1999,28.272633333333335,1.5170808080808074,0.4302592618713908,0.3300416666666667
ARE,2000,2009,29.02234166666667,-0.02280303030303153,0.1549630170209005,0.3571583333333333
ARG,1960,1969,14.919450000000001,0.2998787878787872,0.2242289956280393,0.22380833333333333
ARG,1970,1979,14.879241666666667,0.25767171717171766,0.2907409872717651,0.215125
ARG,1980,1989,15.123408333333334,0.13621717171717107,0.31871455854401876,0.198475
ARG,1990,1999,15.197791666666669,0.28212626262626384,0.23909272538460183,0.21525833333333333
ARG,2000,2009,15.257758333333333,0.2918131313131322,0.32331654494348655,0.21239166666666667
ARM,1960,1969,9.062958333333333,-1.0752878787878768,0.8378168318403062,0.42704166666666665
ARM,1970,1979,8.848691666666667,0.4788636363636359,0.7237905208868805,0.3894083333333333
ARM,1980,1989,9.139683333333332,0.013777777777776744,0.47084234843330486,0.3799416666666667
ARM,1990,1999,9.277333333333333,1.9615050505050502,0.7522238013364401,0.335975
ARM,2000,2009,9.798283333333334,-0.25961616161616186,0.280430297804418,0.36327499999999996
ASM,1960,1969,26.650491666666664,-0.046772727272725606,0.1898862670557984,0.38809166666666667
ASM,1970,1979,26.756116666666667,0.1182525252525295,0.18738520276755147,0.3339583333333333
ASM,1980,1989,26.911825,0.02848989898989586,0.1042539263696415,0.3166916666666667
ASM,1990,1999,27.103125,0.09477272727272655,0.16695187255529484,0.4056666666666667
ASM,2000,2009,27.246783333333333,-0.25355555555555365,0.15936985414915344,0.45362500000000006
ATG,1960,1969,26.668533333333336,-0.36850505050505256,0.18740121450588154,0.3685083333333333
ATG,1970,1979,26.58654166666667,0.1353080808080802,0.23710174410101503,0.30396666666666666
ATG,1980,1989,26.874258333333337,-0.1837929292929294,0.2271180687094399,0.2694416666666667
ATG,1990,1999,27.097283333333337,0.5504242424242403,0.18185021100461918,0.2507666666666667
ATG,2000,2009,27.298908333333333,0.15089393939394094,0.23432969473828852,0.24923333333333336
AUS,1960,1969,21.67145,0.04621212121211923,0.2718467902273315,0.21187499999999998
AUS,1970,1979,21.77290833333333,0.008712121212122548,0.3917457207989767,0.19695833333333335
AUS,1980,1989,22.114075,-0.14638888888889032,0.32726014887418325,0.18404166666666666
AUS,1990,1999,22.206200000000003,-0.011626262626267255,0.24298193838476936,0.1803
AUS,2000,2009,22.3255,0.7316464646464648,0.28940418246249633,0.1769
AUT,1960,1969,6.273616666666666,-0.01806060606060617,0.5917111352379084,0.30085000000000006
AUT,1970,1979,6.415983333333334,0.21394949494949508,0.3898469671433543,0.288475
AUT,1980,1989,6.516866666666667,0.8002929292929282,0.5410331952559603,0.26203333333333334
AUT,1990,1999,7.0532916666666665,-0.13279292929292913,0.6380952883955323,0.23961666666666664
AUT,2000,2009,7.4886,-0.03726262626262632,0.4871496758086563,0.23924166666666666
AZE,1960,1969,11.668783333333334,-1.1218181818181818,0.7662957202805677,0.40469999999999995
AZE,1970,1979,11.531541666666666,0.15769191919192055,0.620135040814391,0.36305
AZE,1980,1989,11.736633333333334,0.2081313131313131,0.4484776182115038,0.3412416666666666
AZE,1990,1999,11.930708333333332,1.6308838383838384,0.67304026195364,0.3303083333333333
AZE,2000,2009,12.565724999999999,-0.16012626262626384,0.279886024816161,0.3505083333333333
BDI,1960,1969,20.016591666666667,0.20084343434343227,0.15893670217822312,0.5028583333333334
BDI,1970,1979,20.137825,0.45657070707070757,0.20279859825771393,0.38944999999999996
BDI,1980,1989,20.480241666666668,-0.11532828282828281,0.28117309112642325,0.5096583333333332
BDI,1990,1999,20.537008333333336,0.258833333333335,0.19548129350684904,0.5664750000000001
BDI,2000,2009,20.816933333333335,0.11884848484848455,0.2873284405904958,0.5960083333333334
BEL,1960,1969,9.478133333333334,0.05082828282828348,0.688498429273342,0.2581916666666667
BEL,1970,1979,9.718708333333334,-0.19338888888888833,0.41940961788210873,0.24430000000000002
BEL,1980,1989,9.770458333333334,0.6164191919191918,0.6690392891221535,0.21767499999999998
BEL,1990,1999,10.342208333333335,0.06836868686868747,0.6638032478185389,0.20431666666666665
BEL,2000,2009,10.803816666666666,-0.146767676767677,0.26082833445079506,0.20895000000000002
BEN,1960,1969,27.163766666666668,0.25602020202020487,0.18466329877159168,0.27805
BEN,1970,1979,27.32096666666667,-0.09142424242424424,0.2948213643831549,0.2520583333333334
BEN,1980,1989,27.54089166666667,0.03851010101009936,0.28528547050630626,0.26502499999999996
BEN,1990,1999,27.596991666666668,0.3690050505050515,0.22089117568290445,0.27487500000000004
BEN,2000,2009,27.918475000000008,0.41496464646464554,0.16575462945212524,0.31220833333333337
BFA,1960,1969,28.117783333333335,0.40331313131313196,0.2405373010002093,0.26348333333333335
BFA,1970,1979,28.284991666666667,-0.11048989898990004,0.31265330855225526,0.24708333333333332
BFA,1980,1989,28.51414166666667,-0.06024747474747576,0.31348466452961965,0.28715833333333335
BFA,1990,1999,28.528008333333332,0.21261111111111122,0.28301356538035527,0.3011166666666667
BFA,2000,2009,28.888883333333332,0.18854545454545008,0.21881030219017678,0.3063666666666667
BGD,1960,1969,25.170716666666667,-0.13977777777777656,0.19469326249489435,0.26129166666666664
BGD,1970,1979,25.14134166666667,0.42274242424242353,0.23199664651781288,0.294075
BGD,1980,1989,25.29443333333333,0.5153030303030284,0.19312786553651215,0.28526666666666667
BGD,1990,1999,25.275833333333335,0.4103737373737399,0.22449629387022538,0.22388333333333335
BGD,2000,2009,25.44705,0.5198484848484815,0.16513434409391262,0.2977916666666666
BGR,1960,1969,10.833250000000001,-0.4586060606060618,0.4400143806955123,0.31370000000000003
BGR,1970,1979,10.627108333333332,-0.02399494949494981,0.3961666297552236,0.2771666666666667
BGR,1980,1989,10.622191666666666,0.47320707070707096,0.26818865752151877,0.2813
BGR,1990,1999,11.006483333333332,0.11622222222222355,0.6778246182205572,0.25494999999999995
BGR,2000,2009,11.550058333333334,0.341449494949495,0.49172791559566437,0.2509
BHR,1960,1969,26.101808333333338,0.07279292929292691,0.4384672441962706,0.5091833333333333
BHR,1970,1979,26.064025000000004,0.7495707070707064,0.356073661367267,0.4575083333333333
BHR,1980,1989,26.202908333333333,0.2166515151515202,0.41566325371412793,0.4649916666666667
BHR,1990,1999,26.48645,1.9247676767676734,0.5160637192598662,0.396675
