CCA3,Country/Territory,join_key,Country,_merge
NLD,Netherlands,netherlands,Netherlands (Europe),both
NCL,New Caledonia,new caledonia,New Caledonia,both
NZL,New Zealand,new zealand,New Zealand,both
NIC,Nicaragua,nicaragua,Nicaragua,both
NER,Niger,niger,Niger,both
NGA,Nigeria,nigeria,Nigeria,both
NIU,Niue,niue,Niue,both
PRK,North Korea,north korea,North Korea,both
MKD,North Macedonia,north macedonia,Macedonia,both
NFK,Northern Mariana Islands,northern mariana islands,Northern Mariana Islands,both
NOR,Norway,norway,Norway,both
OMN,Oman,oman,Oman,both
PAK,Pakistan,pakistan,Pakistan,both
PLW,Palau,palau,Palau,both
PSE,Palestine,palestine,Palestina,both
PAN,Panama,panama,Panama,both
PNG,Papua New Guinea,papua new guinea,Papua New Guinea,both
PRY,Paraguay,paraguay,Paraguay,both
PER,Peru,peru,Peru,both
PHL,Philippines,philippines,Philippines,both
POL,Poland,poland,Poland,both
PRT,Portugal,portugal,Portugal,both
PRI,Puerto Rico,puerto rico,Puerto Rico,both
QAT,Qatar,qatar,Qatar,both
COG,Republic of the Congo,republic of the congo,Congo,both
REU,Reunion,reunion,Reunion,both
ROU,Romania,romania,Romania,both
RUS,Russia,russia,Russia,both
RWA,Rwanda,rwanda,Rwanda,both
BLM,Saint Barthelemy,saint barthelemy,Saint Barthélemy,both
KNA,Saint Kitts and Nevis,saint kitts and nevis,Saint Kitts And Nevis,both
LCA,Saint Lucia,saint lucia,Saint Lucia,both
MAF,Saint Martin,saint martin,Saint Martin,both
SPM,Saint Pierre and Miquelon,saint pierre and miquelon,Saint Pierre And Miquelon,both
VCT,Saint Vincent and the Grenadines,saint vincent and the grenadines,Saint Vincent And The Grenadines,both
WSM,Samoa,samoa,Samoa,both
SMR,San Marino,san marino,San Marino,both
STP,Sao Tome and Principe,sao tome and principe,Sao Tome And Principe,both
SAU,Saudi Arabia,saudi arabia,Saudi Arabia,both
SEN,Senegal,senegal,Senegal,both
SRB,Serbia,serbia,Serbia,both
SYC,Seychelles,seychelles,Seychelles,both
SLE,Sierra Leone,sierra leone,Sierra Leone,both
SGP,Singapore,singapore,Singapore,both
SXM,Sint Maarten,sint maarten,Sint Maarten,both
SVK,Slovakia,slovakia,Slovakia,both
SVN,Slovenia,slovenia,Slovenia,both
SLB,Solomon Islands,solomon islands,Solomon Islands,both
SOM,Somalia,somalia,Somalia,both
ZAF,South Africa,south africa,South Africa,both
KOR,South Korea,south korea,South Korea,both
SSD,South Sudan,south sudan,,left_only
ESP,Spain,spain,Spain,both
LKA,Sri Lanka,sri lanka,Sri Lanka,both
SDN,Sudan,sudan,Sudan,both
SUR,Suriname,suriname,Suriname,both
SWE,Sweden,sweden,Sweden,both
CHE,Switzerland,switzerland,Switzerland,both
SYR,Syria,syria,Syria,both
TWN,Taiwan,taiwan,Taiwan,both
TJK,Tajikistan,tajikistan,Tajikistan,both
TZA,Tanzania,tanzania,Tanzania,both
THA,Thailand,thailand,Thailand,both
TLS,Timor-Leste,timor leste,Timor Leste,both
TGO,Togo,togo,Togo,both
TKL,Tokelau,tokelau,,left_only
TON,Tonga,tonga,Tonga,both
TTO,Trinidad and Tobago,trinidad and tobago,Trinidad And Tobago,both
TUN,Tunisia,tunisia,Tunisia,both
TUR,Turkey,turkey,Turkey,both
TKM,Turkmenistan,turkmenistan,Turkmenistan,both
TCA,Turks and Caicos Islands,turks and caicos islands,Turks And Caicas Islands,both
TUV,Tuvalu,tuvalu,,left_only
UGA,Uganda,uganda,Uganda,both
UKR,Ukraine,ukraine,Ukraine,both
ARE,United Arab Emirates,united arab emirates,United Arab Emirates,both
GBR,United Kingdom,united kingdom,United Kingdom (Europe),both
USA,United States,united states,United States,both
VIR,United States Virgin Islands,united states virgin islands,Virgin Islands,both
URY,Uruguay,uruguay,Uruguay,both
UZB,Uzbekistan,uzbekistan,Uzbekistan,both
VUT,Vanuatu,vanuatu,,left_only
VAT,Vatican City,vatican city,,left_only
VEN,Venezuela,venezuela,Venezuela,both
VNM,Vietnam,vietnam,Vietnam,both
WLF,Wallis and Futuna,wallis and futuna,,left_only
ESH,Western Sahara,western sahara,Western Sahara,both
YEM,Yemen,yemen,Yemen,both
ZMB,Zambia,zambia,Zambia,both
ZWE,Zimbabwe,zimbabwe,Zimbabwe,both
