cca3,year,annual_mean_temp_c,valid_months,annual_mean_uncertainty_c
ABW,1960,28.253583333333335,12,0.4530833333333333
ABW,1961,28.072833333333335,12,0.3700833333333333
ABW,1962,28.286,12,0.3313333333333333
ABW,1963,28.31725,12,0.31858333333333333
ABW,1964,28.07641666666667,12,0.30116666666666664
ABW,1965,28.04675,12,0.39316666666666666
ABW,1966,28.24116666666667,12,0.33425
ABW,1967,27.95475,12,0.40025
ABW,1968,28.114333333333335,12,0.32008333333333333
ABW,1969,28.631,12,0.36566666666666664
ABW,1970,28.369333333333334,12,0.3466666666666667
ABW,1971,27.89,12,0.2960833333333333
ABW,1972,28.352333333333334,12,0.3056666666666667
ABW,1973,28.331833333333332,12,0.29333333333333333
ABW,1974,27.70025,12,0.29333333333333333
ABW,1975,27.943250000000003,12,0.4699166666666667
ABW,1976,27.810083333333335,12,0.29750000000000004
ABW,1977,28.45441666666667,12,0.28375
ABW,1978,28.391583333333333,12,0.34299999999999997
ABW,1979,28.432333333333332,12,0.3429166666666667
ABW,1980,28.62691666666667,12,0.31224999999999997
ABW,1981,28.44825,12,0.3974166666666667
ABW,1982,28.2465,12,0.2735
ABW,1983,28.687,12,0.3095833333333334
ABW,1984,28.198166666666665,12,0.21583333333333332
ABW,1985,27.885666666666665,12,0.32108333333333333
ABW,1986,27.989333333333335,12,0.3834166666666667
ABW,1987,28.859416666666664,12,0.3990833333333333
ABW,1988,28.34991666666667,12,0.31908333333333333
ABW,1989,28.134583333333335,12,0.3113333333333333
ABW,1990,28.243333333333336,12,0.3646666666666667
ABW,1991,28.343083333333336,12,0.30016666666666664
ABW,1992,28.49875,12,0.33808333333333335
ABW,1993,28.589166666666667,12,0.2841666666666667
ABW,1994,28.482249999999997,12,0.27616666666666667
ABW,1995,28.736416666666667,12,0.32641666666666663
ABW,1996,28.479583333333334,12,0.27899999999999997
ABW,1997,28.763333333333335,12,0.37799999999999995
ABW,1998,28.9825,12,0.3369166666666667
ABW,1999,28.197916666666668,12,0.2880833333333333
ABW,2000,28.128,12,0.3045833333333333
ABW,2001,28.630916666666668,12,0.4985833333333333
ABW,2002,28.849249999999998,12,0.30058333333333337
ABW,2003,28.849666666666668,12,0.3348333333333333
ABW,2004,28.506,12,0.27875
ABW,2005,28.77225,12,0.3293333333333333
ABW,2006,28.804666666666666,12,0.3734166666666667
ABW,2007,28.822833333333335,12,0.34741666666666665
ABW,2008,28.45025,12,0.3115833333333333
ABW,2009,28.832000000000004,12,0.3329166666666667
AFG,1960,13.985416666666666,12,0.4418333333333333
AFG,1961,14.064916666666667,12,0.39808333333333334
AFG,1962,13.768666666666666,12,0.4061666666666666
AFG,1963,15.033416666666668,12,0.40124999999999994
AFG,1964,13.084916666666667,12,0.44941666666666663
AFG,1965,14.101833333333333,12,0.40808333333333335
AFG,1966,14.343000000000002,12,0.34933333333333333
AFG,1967,13.66325,12,0.40399999999999997
AFG,1968,13.762333333333332,12,0.4364166666666667
AFG,1969,13.805083333333334,12,0.42524999999999996
AFG,1970,14.783083333333332,12,0.3774166666666667
AFG,1971,14.823500000000001,12,0.3865
AFG,1972,12.547166666666667,12,0.3910833333333333
AFG,1973,14.235500000000002,12,0.44575000000000004
AFG,1974,13.316749999999999,12,0.3626666666666667
AFG,1975,13.548083333333333,12,0.4046666666666667
AFG,1976,13.708583333333335,12,0.43091666666666667
AFG,1977,14.805416666666666,12,0.47974999999999995
AFG,1978,14.329666666666666,12,0.45999999999999996
AFG,1979,14.262083333333335,12,0.3865
AFG,1980,14.887333333333332,12,0.4008333333333333
AFG,1981,14.860083333333334,12,0.4851666666666667
AFG,1982,13.733083333333333,12,0.46208333333333335
AFG,1983,14.614833333333335,12,0.48500000000000004
AFG,1984,14.245833333333335,12,0.4384166666666667
AFG,1985,14.88875,12,0.39608333333333334
AFG,1986,14.22316666666667,12,0.38033333333333336
AFG,1987,14.984,12,0.35933333333333334
AFG,1988,15.389000000000001,12,0.4390833333333333
AFG,1989,14.125750000000002,12,0.36683333333333334
AFG,1990,14.993333333333332,12,0.36241666666666666
AFG,1991,14.370750000000001,12,0.41100000000000003
AFG,1992,14.056083333333333,12,0.5016666666666666
AFG,1993,14.439250000000001,12,0.53925
AFG,1994,14.754750000000001,12,0.3968333333333333
AFG,1995,14.859166666666667,12,0.43475
AFG,1996,14.426,12,0.37666666666666665
AFG,1997,14.904000000000002,12,0.5340833333333334
AFG,1998,15.1325,12,0.47141666666666665
