country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Antigua and Barbuda,ATG,1970,64516,145.96380090497738,,26.668533333333336,-0.36850505050505256,0.18740121450588154,0.3685083333333333,442,North America,Medium
Antigua and Barbuda,ATG,1980,64888,146.8054298642534,0.5766011532023052,26.58654166666667,0.1353080808080802,0.23710174410101503,0.30396666666666666,442,North America,Low
Antigua and Barbuda,ATG,1990,63328,143.2760180995475,-2.4041425225003077,26.874258333333337,-0.1837929292929294,0.2271180687094399,0.2694416666666667,442,North America,High
Australia,AUS,1970,12595034,1.6374148078581139,,21.67145,0.04621212121211923,0.2718467902273315,0.21187499999999998,7692024,Oceania,Low
Australia,AUS,1980,14706322,1.9118923705906274,16.762860663972813,21.77290833333333,0.008712121212122548,0.3917457207989767,0.19695833333333335,7692024,Oceania,Low
Australia,AUS,1990,17048003,2.2163221279600793,15.922954767344265,22.114075,-0.14638888888889032,0.32726014887418325,0.18404166666666666,7692024,Oceania,Low
Austria,AUT,1970,7465301,89.00932384256775,,6.273616666666666,-0.01806060606060617,0.5917111352379084,0.30085000000000006,83871,Europe,Medium
Austria,AUT,1980,7547561,89.9901157730324,1.10189796767739,6.415983333333334,0.21394949494949508,0.3898469671433543,0.288475,83871,Europe,High
Austria,AUT,1990,7678729,91.55404132536871,1.7378859210279929,6.516866666666667,0.8002929292929282,0.5410331952559603,0.26203333333333334,83871,Europe,Low
Azerbaijan,AZE,1970,5425317,62.64800230946882,,11.668783333333334,-1.1218181818181818,0.7662957202805677,0.40469999999999995,86600,Asia,Medium
Azerbaijan,AZE,1980,6383060,73.70739030023094,17.653217314306247,11.531541666666666,0.15769191919192055,0.620135040814391,0.36305,86600,Asia,Medium
Azerbaijan,AZE,1990,7427836,85.77177829099307,16.367948914783813,11.736633333333334,0.2081313131313131,0.4484776182115038,0.3412416666666666,86600,Asia,High
Burundi,BDI,1970,3497834,125.66767263059567,,20.016591666666667,0.20084343434343227,0.15893670217822312,0.5028583333333334,27834,Africa,High
Burundi,BDI,1980,4312834,154.94840842135517,23.30013373990876,20.137825,0.45657070707070757,0.20279859825771393,0.38944999999999996,27834,Africa,Medium
Burundi,BDI,1990,5483793,197.01778400517352,27.150569671821366,20.480241666666668,-0.11532828282828281,0.28117309112642325,0.5096583333333332,27834,Africa,High
Belgium,BEL,1970,9629376,315.42767295597486,,9.478133333333334,0.05082828282828348,0.688498429273342,0.2581916666666667,30528,Europe,Low
Belgium,BEL,1980,9828986,321.9662604821803,2.0729276746489056,9.718708333333334,-0.19338888888888833,0.41940961788210873,0.24430000000000002,30528,Europe,High
Belgium,BEL,1990,9959560,326.2434486373166,1.3284585001952287,9.770458333333334,0.6164191919191918,0.6690392891221535,0.21767499999999998,30528,Europe,Medium
Benin,BEN,1970,3023443,26.845935962778142,,27.163766666666668,0.25602020202020487,0.18466329877159168,0.27805,112622,Africa,Low
Benin,BEN,1980,3833939,34.042540533821104,26.807054077090253,27.32096666666667,-0.09142424242424424,0.2948213643831549,0.2520583333333334,112622,Africa,Medium
Benin,BEN,1990,5133419,45.580961091083445,33.894122989437236,27.54089166666667,0.03851010101009936,0.28528547050630626,0.26502499999999996,112622,Africa,High
Burkina Faso,BFA,1970,5611666,20.55803815113182,,28.117783333333335,0.40331313131313196,0.2405373010002093,0.26348333333333335,272967,Africa,Low
Burkina Faso,BFA,1980,6932967,25.398553671322908,23.545610162828655,28.284991666666667,-0.11048989898990004,0.31265330855225526,0.24708333333333332,272967,Africa,Low
Burkina Faso,BFA,1990,9131361,33.452252470078804,31.709281177885316,28.51414166666667,-0.06024747474747576,0.31348466452961965,0.28715833333333335,272967,Africa,Medium
Bangladesh,BGD,1970,67541860,457.69370468252356,,25.170716666666667,-0.13977777777777656,0.19469326249489435,0.26129166666666664,147570,Asia,High
